Arrays,,,,
,,,,
12th April,,,,
Long Pressed Name,long-pressed-name,Logic,,https://leetcode.com/problems/long-pressed-name
Container With Most Water,container-with-most-water,Done,,https://leetcode.com/problems/container-with-most-water
Squares of a sorted array,,Logic,,https://leetcode.com/problems/squares-of-a-sorted-array/
majority element,majority element,Done,,https://leetcode.com/problems/majority-element/
,,,,
13 April,,,,#ERROR!
majority element 2,majority element 2,Done,,https://leetcode.com/problems/majority-element-ii/
majority element general,majority element general,(HW),,http://geeksforgeeks.org/given-an-array-of-of-size-n-finds-all-the-elements-that-appear-more-than-nk-times/
Next Greater Element III,next-greater-element-version3,Logic,,https://leetcode.com/problems/next-greater-element-iii
max product of 3 numbers,max product of three numbers,Logic,,https://leetcode.com/problems/maximum-product-of-three-numbers/
largest number atleast twice of others,largest atleast twice,Logic,,https://leetcode.com/problems/largest-number-at-least-twice-of-others/
Max chunks to make sorted,max chunks to make sorted,,,https://leetcode.com/problems/max-chunks-to-make-sorted/
,,,,
14 April,,,,#ERROR!
Max Chunks To Make Sorted II,max-chunks-to-make-sorted-ii,Done,,https://leetcode.com/problems/max-chunks-to-make-sorted-ii
number of subarrays with bounded maximum,number with bounded max,Done,,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/
wiggle sort,wiggle sort,Logic,,https://www.lintcode.com/problem/wiggle-sort/description
Reverse vowels of a string,reverse vowels of a string,HW,,https://leetcode.com/problems/reverse-vowels-of-a-string/
Product of Array Except Self,product-of-array-except-self,Logic,,https://leetcode.com/problems/product-of-array-except-self
maximize distance to closest person,max distace to closest,Logic,,https://leetcode.com/problems/maximize-distance-to-closest-person/
First missing positive,first missing positive,Done,,https://leetcode.com/problems/first-missing-positive/
,,,,
3rd May,,,,
Range Addition,range-addition,Done,,https://www.lintcode.com/problem/range-addition/description
best meeting points,best meeting point,Logic,https://www.lintcode.com/problem/best-meeting-point/,https://leetcode.com/problems/best-meeting-point/
Min moves to equal array element,min moves to equal array element,HW,,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/
Sort Array By Parity,sort-array-by-parity,HW,,https://leetcode.com/problems/sort-array-by-parity
Maximum Swap,maximum-swap,Logic,,https://leetcode.com/problems/maximum-swap
,,,,
4th May,,,,
Min No. of Platform,min no. of platform,Logic,,https://www.geeksforgeeks.org/minimum-number-platforms-required-railwaybus-station/
Sieve of Eratosthenes,Sieve,Done,,https://www.geeksforgeeks.org/sieve-of-eratosthenes/
Segmented sieve,segmented sieve,Logic,,https://www.spoj.com/problems/PRIME1/cstart=10
Two Sum,two sum,Logic,,https://www.geeksforgeeks.org/given-an-array-a-and-a-number-x-check-for-pair-in-a-with-sum-as-x/
Two Difference,two difference,Logic,,https://www.geeksforgeeks.org/find-a-pair-with-the-given-difference/
Boats to Save People,save-people-using-boat,HW,,https://leetcode.com/problems/boats-to-save-people
MIn Jump required with +i or -i allowed,min jump,Logic,https://leetcode.com/problems/reach-a-number/,https://www.geeksforgeeks.org/find-the-number-of-jumps-to-reach-x-in-the-number-line-from-zero/
,,,,
5th May,,,,
partition labels,partition labels,Logic,,https://leetcode.com/problems/partition-labels/
